turn,estimated_tokens,rule_token_estimate,k_token_estimate,n_token_estimate,total_episodes_in_context
1,116,0,0,0,0
2,213,0,0,75,1
3,356,0,0,193,2
4,525,0,0,336,3
5,654,0,0,436,4
6,766,0,0,523,5
7,894,0,0,621,6
8,1041,0,0,739,7
9,1186,0,0,861,8
10,1334,0,0,975,9
11,1477,0,0,1094,10
12,1500,0,0,1118,10
13,1459,0,0,1076,10
14,1443,0,0,1062,10
15,1581,0,86,1073,11
16,1602,0,86,1093,11
17,1613,0,98,1097,11
18,1752,0,205,1090,12
19,1657,0,142,1094,11
20,1638,0,100,1118,11
21,1583,0,86,1076,11
22,1579,0,98,1062,11
23,1852,0,291,1073,13
24,1878,0,295,1093,13
25,1893,0,310,1097,13
26,2024,0,410,1090,14
27,1833,0,285,1094,12
28,1772,0,201,1118,12
29,1703,0,173,1076,12
30,1710,0,196,1062,12
31,2123,0,495,1073,15
32,2153,0,504,1093,15
33,2172,0,523,1097,15
34,2296,0,615,1090,16
35,2009,0,427,1094,13
36,1905,0,301,1118,13
37,1823,0,260,1076,13
38,1841,0,294,1062,13
39,2394,0,700,1073,17
40,1482,0,0,1093,10
41,2400,0,736,1046,17
42,2567,0,821,1090,18
43,2184,0,570,1094,14
44,2039,0,402,1118,14
45,1943,0,347,1076,14
46,1972,0,392,1062,14
47,2665,0,904,1073,19
48,2548,0,799,1093,18
49,2730,0,949,1097,19
50,2839,0,1026,1090,20
51,2360,0,712,1094,15
52,2173,0,502,1118,15
53,2063,0,433,1076,15
54,2104,0,490,1062,15
55,2936,0,1109,1073,21
56,2823,0,1008,1093,20
57,3010,0,1161,1097,21
58,3111,0,1231,1090,22
59,2536,0,855,1094,16
60,2307,0,603,1118,16
61,2183,0,520,1076,16
62,2235,0,588,1062,16
63,3207,0,1313,1073,23
64,3099,0,1217,1093,22
65,3289,0,1374,1097,23
66,3383,0,1436,1090,24
67,2712,0,997,1094,17
68,2440,0,703,1118,17
69,2303,0,607,1076,17
70,2366,0,686,1062,17
71,3478,0,1518,1073,25
72,3374,0,1426,1093,24
73,3568,0,1587,1097,25
74,3654,0,1642,1090,26
75,1578,0,70,1094,11
76,2554,0,804,1097,18
77,2423,0,694,1076,18
78,2497,0,784,1062,18
79,3749,0,1722,1073,27
80,3649,0,1634,1093,26
81,3847,0,1800,1097,27
82,3926,0,1847,1090,28
83,1492,0,0,1094,10
84,1442,0,0,1055,10
85,1500,0,0,1116,10
86,1499,0,0,1116,10
87,2703,0,921,1060,20
88,1626,0,141,1067,11
89,1481,0,0,1099,10
90,2866,0,1067,1111,19
91,1822,0,264,1107,12
92,1956,0,355,1110,13
93,2259,0,589,1116,15
94,2084,0,448,1116,14
95,3323,0,1409,1060,24
96,2246,0,628,1067,15
97,1654,0,135,1099,11
98,3155,0,1290,1111,21
99,2321,0,663,1107,15
100,2560,0,845,1090,17
101,3015,0,1178,1116,20
102,2666,0,896,1116,18
103,3944,0,1896,1060,28
104,2867,0,1116,1067,19
105,1823,0,271,1099,12
106,3446,0,1513,1111,23
107,2801,0,1042,1107,18
108,3007,0,1201,1081,20
109,3772,0,1767,1116,25
110,3248,0,1344,1116,22
111,4566,0,2384,1060,32
112,3489,0,1603,1067,23
113,1992,0,406,1099,13
114,3736,0,1737,1111,25
115,3271,0,1412,1107,21
116,3483,0,1556,1101,23
117,4529,0,2357,1116,30
118,3830,0,1793,1116,26
119,5187,0,2871,1060,36
120,4110,0,2091,1067,27
121,2161,0,542,1099,14
122,1725,0,150,1111,12
123,3707,0,1802,1052,24
124,3939,0,1912,1101,26
125,5230,0,2891,1116,35
126,4247,0,2109,1116,29
127,5754,0,3304,1060,40
128,4566,0,2446,1067,30
129,2330,0,677,1099,15
130,4151,0,2051,1111,28
131,4252,0,2192,1107,27
132,4395,0,2267,1101,29
133,5987,0,3480,1116,40
134,4829,0,2557,1116,33
135,6375,0,3791,1060,44
136,5188,0,2934,1067,34
137,2499,0,813,1099,16
138,4441,0,2274,1111,30
139,4743,0,2582,1107,30
140,4851,0,2623,1101,32
141,6744,0,4069,1116,45
142,5411,0,3005,1116,37
143,6997,0,4279,1060,48
144,5809,0,3421,1067,38
145,2668,0,948,1099,17
146,4731,0,2498,1111,32
147,5233,0,2972,1107,33
148,5307,0,2978,1101,35
149,7501,0,4659,1116,50
150,5994,0,3454,1116,41
151,7618,0,4766,1060,52
152,6431,0,3909,1067,42
153,2837,0,1084,1099,18
154,5022,0,2721,1111,34
155,5724,0,3362,1107,36
156,5763,0,3334,1101,38
157,1722,0,156,1116,12
158,6551,0,3902,1091,45
159,8240,0,5254,1060,56
160,7202,0,4512,1067,47
161,3006,0,1219,1099,19
162,5312,0,2944,1111,36
163,6364,0,3868,1107,40
164,1497,0,0,1101,10
165,1438,0,0,1052,10
166,1496,0,0,1115,10
167,1683,0,139,1125,11
168,5471,0,3048,1068,39
169,1624,0,139,1068,11
170,1582,0,93,1070,11
171,4217,0,2164,1098,27
172,1622,0,94,1111,11
173,2071,0,462,1085,14
174,1980,0,379,1115,13
175,2110,0,465,1125,14
176,6050,0,3493,1068,43
177,2363,0,711,1068,16
178,2161,0,538,1070,15
179,4386,0,2299,1098,28
180,1893,0,297,1111,13
181,2667,0,924,1085,18
182,2460,0,758,1115,16
183,2536,0,791,1125,17
184,6629,0,3938,1068,47
185,3102,0,1282,1068,21
186,2741,0,983,1070,19
187,4555,0,2435,1098,29
188,2163,0,501,1111,15
189,3263,0,1386,1085,22
190,2939,0,1137,1115,19
191,2963,0,1117,1125,20
192,7209,0,4384,1068,51
193,3841,0,1854,1068,26
194,3320,0,1428,1070,23
195,4724,0,2570,1098,30
196,2434,0,704,1111,17
197,3859,0,1849,1085,26
198,3419,0,1517,1115,22
199,3389,0,1443,1125,23
200,7788,0,4829,1068,55
201,4580,0,2425,1068,31
202,3899,0,1874,1070,27
203,1813,0,224,1098,13
204,2633,0,908,1039,19
205,4287,0,2175,1085,29
206,3730,0,1760,1115,24
207,3913,0,1833,1125,27
208,8198,0,5139,1068,58
209,5150,0,2861,1068,35
210,4309,0,2183,1070,30
211,4893,0,2706,1098,31
212,2975,0,1111,1111,21
213,4883,0,2638,1085,33
214,4210,0,2140,1115,27
215,4339,0,2159,1125,30
216,8777,0,5584,1068,62
217,5889,0,3433,1068,40
218,4889,0,2629,1070,34
219,5062,0,2841,1098,32
220,3245,0,1315,1111,23
221,5479,0,3100,1085,37
222,4689,0,2519,1115,30
223,4766,0,2485,1125,33
224,9357,0,6029,1068,66
225,6628,0,4004,1068,45
226,5468,0,3074,1070,38
227,5231,0,2977,1098,33
228,3516,0,1518,1111,25
229,6075,0,3562,1085,41
230,5169,0,2898,1115,33
231,5192,0,2811,1125,36
232,9936,0,6474,1068,70
233,7367,0,4576,1068,50
234,6047,0,3519,1070,42
235,5400,0,3112,1098,34
236,3786,0,1722,1111,27
237,6672,0,4024,1085,45
238,1705,0,140,1115,12
239,5590,0,3137,1096,39
240,10515,0,6920,1068,74
241,8260,0,5267,1068,56
242,6626,0,3964,1070,46
243,5569,0,3248,1098,35
244,4057,0,1925,1111,29
